unitid,"cipcode",awlevel,_type_,_freq_,crace15,crace16
100751,"22.0000",5,7,1,3,
100751,"22.0000",7,7,1,9,
100751,"22.0101",10,7,1,105,51
100751,"23.0000",5,7,2,19,31
100751,"23.0000",7,7,3,10,6
100751,"23.0000",9,7,1,1,4
100751,"24.0000",5,7,1,,1
100751,"25.0000",7,7,1,5,34
100751,"25.0000",8,7,1,,1
100751,"26.0000",5,7,3,23,22
100751,"26.0000",7,7,3,6,3
100751,"26.0000",9,7,1,3,2
100751,"27.0000",5,7,3,8,6
100751,"27.0000",7,7,2,2,
100751,"27.0000",9,7,2,4,1
100751,"30.0000",5,7,1,49,37
100751,"30.0000",9,7,1,,1
100751,"31.0000",5,7,1,1,1
100751,"38.0000",5,7,2,3,2
100751,"40.0000",5,7,3,24,6
100751,"40.0000",7,7,3,12,2
100751,"40.0000",9,7,2,3,
100751,"42.0000",5,7,1,17,36
100751,"42.0000",7,7,1,3,6
100751,"42.0000",9,7,1,2,4
100751,"43.0000",5,7,1,17,11
100751,"43.0000",7,7,1,7,5
100751,"44.0000",5,7,1,2,33
100751,"44.0000",7,7,1,13,51
100751,"44.0000",9,7,2,2,3
100751,"45.0000",5,7,7,74,31
100751,"45.0000",7,7,5,22,3
100751,"45.0000",9,7,3,4,2
100751,"50.0000",5,7,6,14,17
100751,"50.0000",7,7,5,20,23
100751,"50.0000",9,7,1,,1
100751,"99.0000",5,7,1,966,1034
100751,"99.0000",7,7,1,288,337
100751,"99.0000",8,7,1,1,9
100751,"99.0000",9,7,1,54,55
100751,"99.0000",10,7,1,105,51
100760,"06.0000",3,7,1,2,4
100760,"07.0000",2,7,1,,2
100760,"07.0000",3,7,1,,3
100760,"17.0000",3,7,1,,2
100760,"24.0000",3,7,1,53,48
100760,"43.0000",3,7,1,,1
100760,"99.0000",2,7,1,,2
100760,"99.0000",3,7,1,55,58
100812,"06.0000",5,7,3,100,98
100812,"07.0000",5,7,1,,2
100812,"11.0000",5,7,1,23,16
100812,"13.0000",5,7,10,34,120
100812,"18.0000",5,7,1,3,3
100812,"23.0000",5,7,1,3,3
100812,"24.0000",5,7,1,10,1
100812,"26.0000",5,7,1,2,1
100812,"27.0000",5,7,1,4,6
100812,"30.0000",5,7,1,,1
100812,"38.0000",5,7,1,1,
100812,"40.0000",5,7,2,5,2
100812,"41.0000",5,7,1,6,1
100812,"42.0000",5,7,2,8,25
100812,"43.0000",5,7,1,7,
100812,"45.0000",5,7,3,4,5
100812,"50.0000",5,7,1,2,3
100812,"99.0000",5,7,1,212,287
100821,"07.0000",1,7,2,,30
100821,"07.0000",2,7,1,,17
100821,"12.0000",2,7,1,13,
100821,"13.0000",2,7,1,11,
100821,"20.0000",1,7,1,1,
100821,"20.0000",2,7,1,5,
100821,"46.0000",2,7,1,10,
100821,"47.0000",4,7,4,26,
100821,"48.0000",2,7,4,39,2
100821,"99.0000",1,7,1,1,30
100821,"99.0000",2,7,1,78,19
100821,"99.0000",4,7,1,26,
100830,"06.0000",5,7,7,133,104
100830,"06.0000",7,7,1,27,17
100830,"09.0000",5,7,1,5,18
100830,"11.0000",5,7,1,19,10
100830,"11.0000",7,7,1,0,5
100830,"13.0000",5,7,5,7,90
100830,"13.0000",7,7,7,12,74
100830,"13.0000",8,7,3,1,10
100830,"17.0000",5,7,1,1,3
100830,"18.0000",5,7,1,3,40
100830,"23.0000",5,7,2,3,4
100830,"24.0000",5,7,1,20,18
100830,"26.0000",5,7,1,4,9
100830,"27.0000",5,7,1,8,8
100830,"40.0000",5,7,1,4,6
100830,"42.0000",5,7,1,9,18
100830,"42.0000",7,7,1,5,9
100830,"43.0000",5,7,1,9,17
100830,"43.0000",7,7,1,7,8
100830,"44.0000",7,7,1,16,13
100830,"45.0000",5,7,4,18,31
100830,"45.0000",7,7,1,10,6
100830,"50.0000",5,7,1,5,7
100830,"99.0000",5,7,1,248,383
100830,"99.0000",7,7,1,77,132
100830,"99.0000",8,7,1,1,10
100858,"01.0000",5,7,2,27,9
100858,"01.0000",7,7,2,7,3
100858,"01.0000",9,7,2,5,
100858,"02.0000",5,7,5,51,20
100858,"02.0000",7,7,7,16,4
100858,"02.0000",9,7,2,2,
100858,"03.0000",5,7,5,43,9
100858,"03.0000",7,7,3,26,4
100858,"03.0000",9,7,2,9,3
100858,"04.0000",5,7,4,51,25
100858,"04.0000",7,7,1,1,2
100858,"05.0000",5,7,1,1,
100858,"06.0000",5,7,10,538,292
100858,"06.0000",7,7,4,32,15
100858,"07.0000",5,7,1,,11
100858,"08.0000",5,7,1,2,28
100858,"09.0000",5,7,3,27,76
100858,"09.0000",7,7,1,,1
100858,"11.0000",5,7,1,2,7
100858,"11.0000",7,7,1,4,1
100858,"11.0000",9,7,1,1,
100858,"13.0000",5,7,22,110,333
100858,"13.0000",7,7,27,33,94
100858,"13.0000",8,7,2,2,
100858,"13.0000",9,7,13,16,22
100858,"14.0000",5,7,12,648,122
100858,"14.0000",7,7,9,78,5
100858,"14.0000",9,7,6,21,1
100858,"16.0000",5,7,4,5,28
100858,"16.0000",7,7,2,4,8
100858,"17.0000",5,7,2,6,18
100858,"17.0000",7,7,2,1,3
100858,"17.0000",9,7,1,2,1
100858,"18.0000",5,7,5,39,121
100858,"18.0000",7,7,4,4,20
100858,"18.0000",9,7,1,,1
100858,"18.1401",10,7,1,2,1
100858,"18.2401",10,7,1,56,35
100858,"19.0000",5,7,8,6,74
100858,"19.0000",7,7,5,3,6
100858,"23.0000",5,7,2,31,52
100858,"23.0000",7,7,2,2,14
100858,"23.0000",9,7,2,1,1
100858,"26.0000",5,7,5,31,31
100858,"26.0000",7,7,7,10,5
100858,"26.0000",9,7,3,2,1
100858,"27.0000",5,7,2,37,16
100858,"27.0000",7,7,1,4,3
100858,"27.0000",9,7,1,2,
100858,"31.0000",5,7,1,9,5
100858,"38.0000",5,7,2,7,1
100858,"39.0000",5,7,1,,1
100858,"40.0000",5,7,6,41,14
100858,"40.0000",7,7,5,14,5
100858,"40.0000",9,7,2,3,
100858,"41.0000",5,7,1,5,6
100858,"42.0000",5,7,1,23,47
100858,"42.0000",7,7,3,6,12
100858,"42.0000",9,7,4,12,5
100858,"43.0000",5,7,3,28,14
100858,"44.0000",5,7,3,12,36
