unitid,cipcode,awlevel,_type_,_freq_,crace15,crace16
4007,70000,3,7,6,61,130
4007,80000,2,7,1,0,10
4007,80000,3,7,3,5,32
4007,100000,3,7,1,4,8
4007,120000,2,7,1,5,10
4007,130000,3,7,1,43,38
4007,150000,3,7,7,116,16
4007,170000,1,7,1,3,75
4007,170000,2,7,4,9,144
4007,170000,3,7,5,15,99
4007,180000,3,7,2,5,100
4007,190000,3,7,2,1,17
4007,200000,1,7,1,0,21
4007,200000,2,7,3,12,38
4007,200000,3,7,1,17,4
4007,240000,3,7,1,12,8
4007,430000,3,7,2,41,4
4007,440000,3,7,1,2,13
4007,470000,2,7,8,126,1
4007,480000,2,7,5,77,14
4007,480000,3,7,3,34,39
4007,990000,1,7,1,23,102
4007,990000,2,7,1,243,340
4007,990000,3,7,1,443,680
4673,40000,3,7,1,1,9
4673,60000,2,7,1,1,1
4673,60000,3,7,3,31,36
4673,70000,1,7,1,0,8
4673,70000,2,7,2,0,13
4673,70000,3,7,4,1,143
4673,80000,3,7,1,2,7
4673,110000,3,7,2,18,49
4673,140000,3,7,1,16,4
4673,170000,3,7,1,1,22
4673,500000,3,7,1,4,5
4673,990000,1,7,1,0,8
4673,990000,2,7,1,1,14
4673,990000,3,7,1,74,275
5000,60000,3,7,4,51,26
5000,70000,2,7,5,0,13
5000,70000,3,7,5,13,23
5000,80000,2,7,2,1,1
5000,80000,3,7,1,0,11
5000,110000,3,7,1,14,10
5000,130000,3,7,1,1,0
5000,150000,2,7,1,10,2
5000,150000,3,7,1,7,0
5000,170000,2,7,1,2,3
5000,170000,3,7,4,5,47
5000,180000,3,7,1,1,0
5000,200000,3,7,1,1,28
5000,220000,3,7,1,0,2
5000,240000,3,7,2,491,252
5000,310000,2,7,1,1,1
5000,310000,3,7,1,2,1
5000,430000,3,7,2,7,0
5000,470000,2,7,2,19,0
5000,470000,3,7,2,8,0
5000,480000,2,7,1,0,1
5000,990000,2,7,1,33,21
5000,990000,3,7,1,601,400
5031,40000,5,7,1,0,1
5031,60000,3,7,1,1,0
5031,60000,5,7,5,62,57
5031,60000,7,7,5,55,18
5031,70000,3,7,1,0,13
5031,70000,5,7,1,1,40
5031,90000,5,7,1,3,4
5031,110000,5,7,1,24,19
5031,130000,3,7,1,0,2
5031,130000,5,7,6,15,50
5031,150000,3,7,1,2,0
5031,150000,5,7,1,2,0
5031,160000,5,7,1,4,0
5031,170000,3,7,1,5,4
5031,180000,3,7,1,2,0
5031,180000,5,7,1,1,1
5031,180000,7,7,1,2,3
5031,190000,3,7,1,1,0
5031,190000,5,7,1,1,14
5031,260000,5,7,1,3,4
5031,300000,5,7,1,2,4
5031,400000,5,7,1,3,0
5031,420000,5,7,2,5,4
5031,440000,5,7,2,6,19
5031,450000,3,7,1,1,1
5031,450000,5,7,3,16,8
5031,490000,3,7,1,1,0
5031,990000,3,7,1,13,20
5031,990000,5,7,1,148,225
5031,990000,7,7,1,57,21
5523,70000,2,7,1,3,0
5523,70000,3,7,1,25,23
5523,150000,2,7,3,5,0
5523,150000,3,7,5,78,5
5523,170000,2,7,2,0,36
5523,170000,3,7,1,1,15
5523,470000,2,7,1,2,0
5523,470000,3,7,1,24,0
5523,480000,2,7,1,0,1
5523,480000,3,7,1,1,13
5523,990000,2,7,1,10,37
5523,990000,3,7,1,129,56
6741,130000,5,7,1,0,3
6741,390000,5,7,2,3,1
6741,390601,3,7,1,0,3
6741,390601,5,7,1,11,1
6741,990000,3,7,1,0,3
6741,990000,5,7,1,14,5
8192,470000,1,7,2,17,0
8192,470000,2,7,1,83,0
8192,470000,3,7,2,8,0
8192,990000,1,7,1,17,0
8192,990000,2,7,1,83,0
8192,990000,3,7,1,8,0
8915,390000,5,7,1,7,3
8915,390000,7,7,1,12,8
8915,390601,10,7,1,8,7
8915,990000,5,7,1,7,3
8915,990000,7,7,1,12,8
8915,990000,10,7,1,8,7
9786,70000,2,7,2,1,1
9786,70000,3,7,5,12,14
9786,120000,2,7,1,0,5
9786,150000,2,7,1,3,0
9786,150000,3,7,1,37,4
9786,200000,3,7,1,1,0
9786,240000,3,7,1,4,9
9786,300000,3,7,1,13,25
9786,470000,3,7,1,4,0
9786,480000,3,7,2,6,2
9786,990000,2,7,1,4,6
9786,990000,3,7,1,77,54
10668,390601,1,7,1,5,4
10668,390601,3,7,1,9,4
10668,390601,5,7,1,21,10
10668,390601,7,7,1,3,0
10668,390601,10,7,1,3,0
10668,990000,1,7,1,5,4
10668,990000,3,7,1,9,4
10668,990000,5,7,1,21,10
10668,990000,7,7,1,3,0
10668,990000,10,7,1,3,0
10922,10000,3,7,3,10,6
10922,20000,3,7,3,16,13
10922,40000,3,7,1,0,8
10922,60000,3,7,3,151,191
10922,60000,5,7,3,30,33
10922,70000,3,7,1,0,159
10922,110000,3,7,2,43,52
10922,130000,3,7,3,15,123
10922,130000,5,7,1,6,42
10922,140000,3,7,2,34,22
10922,140000,5,7,1,11,3
10922,150000,3,7,4,58,7
10922,170000,3,7,3,28,132
10922,170000,5,7,1,6,30
10922,240000,3,7,1,0,1
10922,260000,3,7,2,34,52
10922,300000,3,7,2,15,14
10922,430000,3,7,1,4,4
10922,440000,3,7,1,1,10
10922,450000,3,7,1,7,20
10922,500000,3,7,1,11,11
10922,990000,3,7,1,427,825
10922,990000,5,7,1,53,108
11600,60000,2,7,4,15,5
11600,70000,1,7,1,0,4
11600,70000,2,7,2,0,7
11600,990000,1,7,1,0,4
11600,990000,2,7,1,15,12
11624,390000,5,7,1,5,4
11624,990000,3,7,1,1,4
11624,990000,5,7,1,5,4
11996,70000,3,7,1,1,22
11996,990000,3,7,1,1,22
29026,10000,5,7,1,0,1
29026,40000,7,7,2,2,2
29026,60000,5,7,1,3,0
29026,60000,7,7,3,8,0
29026,90000,7,7,1,0,1
29026,110000,7,7,1,1,0
29026,130000,7,7,7,3,14
29026,170000,7,7,2,2,4
29026,220000,5,7,1,1,0
29026,300000,7,7,1,1,0
29026,380000,7,7,1,1,0
29026,420000,5,7,1,1,0
29026,420000,7,7,5,9,29
29026,430000,5,7,1,4,0
29026,430000,7,7,1,13,0
29026,450000,5,7,3,1,2
29026,450000,7,7,2,2,0
29026,500000,7,7,1,0,1
29026,990000,5,7,1,10,3
29026,990000,7,7,1,42,51
29085,70000,2,7,1,0,1
29085,170000,2,7,1,6,6
29085,240000,3,7,1,4,4
29085,300000,3,7,1,4,18
29085,430000,2,7,2,6,3
29085,990000,2,7,1,12,10
29085,990000,3,7,1,8,22
29130,60000,5,7,1,1,4
29130,90000,5,7,1,1,3
29130,230000,5,7,1,1,1
29130,260000,5,7,1,1,0
29130,300000,5,7,1,0,1
29130,380000,5,7,1,2,0
29130,990000,5,7,1,6,9
29154,390000,7,7,1,5,5
29154,390601,10,7,1,29,1
29154,990000,7,7,1,5,5
29154,990000,10,7,1,29,1
29306,130000,5,7,1,9,20
29306,390000,5,7,1,68,40
29306,420000,5,7,1,13,18
29306,990000,5,7,1,90,78
29317,60000,3,7,1,17,38
29317,70000,2,7,1,0,2
29317,80000,2,7,1,9,52
29317,80000,3,7,1,0,12
29317,150000,3,7,1,4,0
29317,170000,2,7,4,60,149
29317,470000,2,7,2,174,0
29317,990000,2,7,1,243,203
29317,990000,3,7,1,21,50
29365,170000,2,7,1,0,7
29365,170000,7,7,1,0,1
29365,990000,2,7,1,0,7
29365,990000,7,7,1,0,1
29372,420000,9,7,1,2,3
29372,990000,9,7,1,2,3
100636,60000,3,7,6,606,96
100636,70000,3,7,1,228,41
100636,80000,3,7,1,34,0
100636,90000,3,7,2,173,15
100636,100000,3,7,1,94,8
100636,110000,3,7,1,180,16
100636,130000,3,7,2,104,4
100636,140000,3,7,2,94,6
100636,150000,3,7,9,1173,81
100636,160000,3,7,1,68,14
100636,170000,3,7,14,286,52
100636,180000,3,7,1,25,8
100636,220000,3,7,1,15,8
100636,290000,3,7,1,66,2
100636,400000,3,7,1,110,8
100636,410000,3,7,1,57,2
100636,430000,3,7,2,293,16
100636,440000,3,7,1,10,2
100636,460000,3,7,1,16,0
100636,470000,3,7,3,781,45
100636,480000,3,7,2,16,0
100636,490000,3,7,3,158,9
100636,500000,2,7,1,3,0
100636,990000,2,7,1,3,0
100636,990000,3,7,1,4587,433
100654,10000,5,7,2,12,1
100654,10000,7,7,1,14,0
100654,20000,5,7,4,9,0
100654,20000,7,7,2,21,3
100654,30000,5,7,1,2,0
100654,40000,5,7,1,7,2
100654,40000,7,7,1,10,0
100654,60000,5,7,6,83,65
100654,60000,7,7,2,102,17
100654,70000,5,7,1,1,11
100654,100000,5,7,1,8,25
100654,110000,5,7,1,19,27
100654,110000,7,7,1,19,6
100654,130000,5,7,12,12,39
100654,130000,7,7,14,12,45
100654,140000,5,7,1,10,0
100654,150000,3,7,1,1,0
100654,150000,5,7,3,32,1
100654,150000,7,7,1,3,0
100654,190000,5,7,3,0,10
100654,230000,5,7,1,0,1
100654,250000,7,7,2,6,8
100654,260000,5,7,3,9,8
100654,400000,5,7,3,5,0
100654,420000,5,7,1,2,8
100654,420000,7,7,3,6,17
100654,440000,5,7,1,1,9
100654,450000,5,7,2,8,9
100654,470000,5,7,1,1,0
100654,990000,3,7,1,1,0
100654,990000,5,7,1,221,216
100654,990000,7,7,1,193,96
100663,60000,5,7,7,127,122
100663,60000,7,7,2,37,23
100663,90000,5,7,1,25,27
100663,110000,5,7,1,58,44
100663,110000,7,7,1,7,3
100663,130000,5,7,8,26,108
100663,130000,7,7,12,46,219
100663,140000,5,7,5,122,14
100663,140000,7,7,5,16,3
100663,150000,2,7,1,18,3
100663,160000,5,7,2,0,3
100663,170000,1,7,1,104,25
100663,170000,2,7,11,66,137
100663,170000,5,7,8,23,52
100663,170000,7,7,3,11,49
100663,180000,5,7,4,30,250
100663,180000,7,7,8,57,118
100663,180000,9,7,6,3,18
100663,180401,7,7,1,4,1
100663,180401,10,7,1,50,8
100663,181001,10,7,1,123,37
100663,181201,10,7,1,22,14
100663,190000,2,7,1,0,13
100663,190000,7,7,1,1,7
100663,230000,5,7,1,6,14
100663,230000,7,7,1,4,6
100663,260000,5,7,1,28,13
100663,260000,7,7,4,6,4
100663,260000,9,7,7,17,9
100663,270000,5,7,1,5,6
100663,270000,7,7,1,1,0
100663,300000,5,7,2,10,16
100663,380000,5,7,1,3,1
100663,400000,5,7,3,13,3
100663,400000,7,7,1,2,1
100663,400000,9,7,2,2,0
100663,420000,5,7,1,11,29
100663,420000,7,7,1,2,2
100663,430000,5,7,1,24,31
100663,430000,7,7,2,4,1
100663,440000,5,7,1,2,12
100663,440000,7,7,1,6,2
100663,450000,5,7,5,43,25
100663,450000,7,7,3,5,7
100663,500000,5,7,5,7,15
100663,990000,1,7,1,104,25
100663,990000,2,7,1,84,153
100663,990000,5,7,1,563,785
100663,990000,7,7,1,209,446
100663,990000,9,7,1,22,27
100663,990000,10,7,1,195,59
100706,40000,2,7,1,0,2
100706,50000,5,7,1,0,1
100706,60000,2,7,1,8,7
100706,60000,5,7,7,103,124
100706,60000,7,7,5,22,11
100706,110000,5,7,1,12,10
100706,110000,7,7,1,15,7
100706,130000,5,7,3,2,14
100706,130000,7,7,1,0,6
100706,140000,5,7,5,99,29
100706,140000,7,7,4,26,6
100706,160000,5,7,1,1,0
100706,180000,5,7,1,10,75
100706,180000,7,7,1,0,10
100706,230000,5,7,1,3,12
100706,230000,7,7,1,1,4
100706,260000,5,7,1,10,15
100706,260000,7,7,1,4,5
100706,270000,5,7,1,4,6
100706,270000,7,7,1,0,2
100706,400000,5,7,2,12,3
100706,400000,7,7,2,5,4
100706,400000,9,7,1,2,0
100706,420000,5,7,1,1,7
100706,430000,5,7,1,3,3
100706,440000,7,7,1,2,0
100706,450000,5,7,3,9,9
100706,450000,7,7,1,0,1
100706,500000,5,7,2,2,6
100706,990000,2,7,1,8,9
100706,990000,5,7,1,271,314
100706,990000,7,7,1,75,56
100706,990000,9,7,1,2,0
100724,60000,3,7,1,0,1
100724,60000,5,7,4,27,33
100724,70000,3,7,1,0,3
100724,70000,5,7,1,2,42
100724,90000,5,7,1,3,8
100724,110000,5,7,1,19,23
100724,130000,5,7,10,9,29
100724,130000,7,7,12,21,53
100724,230000,5,7,1,0,3
100724,260000,5,7,1,7,8
100724,260000,7,7,1,3,3
100724,270000,5,7,1,3,4
100724,310000,5,7,1,4,5
100724,400000,5,7,2,5,0
100724,420000,5,7,1,6,5
100724,430000,5,7,1,33,27
100724,440000,5,7,2,8,24
100724,440000,7,7,1,7,9
100724,450000,5,7,2,13,6
100724,500000,5,7,2,11,2
100724,990000,3,7,1,0,4
100724,990000,5,7,1,150,219
100724,990000,7,7,1,31,65
100751,40000,5,7,1,3,19
100751,50000,5,7,2,2,3
100751,50000,7,7,2,3,1
100751,60000,5,7,12,372,234
100751,60000,7,7,8,49,27
100751,60000,9,7,1,6,0
100751,70000,5,7,1,0,6
100751,90000,5,7,4,172,247
100751,90000,7,7,3,6,7
100751,110000,5,7,2,19,19
100751,110000,7,7,1,4,1
100751,130000,5,7,16,23,157
100751,130000,7,7,23,31,122
100751,130000,9,7,10,35,36
100751,140000,5,7,9,229,36
100751,140000,7,7,11,42,3
100751,140000,9,7,2,1,1
100751,150000,5,7,2,32,5
100751,160000,5,7,1,0,4
100751,160000,7,7,3,1,4
100751,170000,5,7,1,1,3
100751,170000,7,7,1,1,1
100751,180000,5,7,5,24,165
100751,180000,7,7,2,2,7
100751,190000,5,7,8,3,94
100751,190000,7,7,4,0,16
100751,200000,5,7,2,0,7
100751,200000,7,7,1,0,2
100751,220000,5,7,1,14,5
100751,220000,7,7,1,16,2
100751,220101,10,7,1,107,60
100751,230000,5,7,3,18,30
100751,230000,7,7,3,5,9
100751,240000,5,7,1,2,1
100751,250000,7,7,1,12,31
100751,260000,5,7,3,30,26
100751,260000,7,7,4,4,9
100751,260000,9,7,1,6,1
100751,270000,5,7,3,15,15
100751,270000,7,7,1,3,3
100751,300000,5,7,1,57,41
100751,300000,7,7,1,0,1
100751,300000,9,7,1,1,0
100751,310000,5,7,2,5,11
100751,310000,7,7,1,7,6
100751,310000,9,7,1,1,0
100751,380000,5,7,2,7,0
100751,400000,5,7,4,35,11
100751,400000,7,7,3,7,2
100751,400000,9,7,1,6,0
100751,420000,5,7,1,26,34
100751,420000,7,7,3,7,4
100751,420000,9,7,1,11,7
100751,430000,5,7,1,19,13
100751,430000,7,7,1,3,3
100751,440000,5,7,1,6,33
100751,440000,7,7,2,6,57
100751,440000,9,7,1,1,2
100751,450000,5,7,7,97,40
100751,450000,7,7,4,6,1
100751,450000,9,7,2,2,1
100751,500000,5,7,6,14,26
100751,500000,7,7,3,6,6
100751,500000,9,7,1,0,1
100751,990000,5,7,1,1225,1285
100751,990000,7,7,1,221,325
100751,990000,9,7,1,70,49
100751,990000,10,7,1,107,60
100760,60000,3,7,2,9,10
100760,70000,2,7,1,0,4
100760,70000,3,7,1,0,6
100760,90000,3,7,1,1,0
100760,170000,3,7,5,2,8
100760,180000,3,7,1,0,3
100760,190000,3,7,1,0,1
100760,240000,3,7,1,14,42
100760,420000,3,7,1,2,0
100760,430000,2,7,1,9,1
100760,430000,3,7,1,7,1
100760,450000,3,7,1,1,0
100760,470000,3,7,1,2,0
100760,480000,3,7,1,1,0
100760,990000,2,7,1,9,5
100760,990000,3,7,1,39,71
100812,60000,5,7,3,91,79
100812,130000,5,7,4,19,37
100812,150000,5,7,1,9,0
100812,230000,5,7,2,0,2
100812,240000,5,7,1,8,8
100812,260000,5,7,1,1,2
100812,270000,5,7,2,5,3
100812,380000,5,7,2,4,2
100812,410000,5,7,1,5,0
100812,420000,5,7,2,9,14
100812,430000,5,7,1,2,3
100812,450000,5,7,4,5,8
100812,500000,5,7,1,1,0
100812,990000,5,7,1,159,158
100830,60000,5,7,7,102,103
100830,60000,7,7,1,13,5
100830,90000,5,7,1,6,10
100830,110000,5,7,1,20,20
100830,110000,7,7,1,1,0
100830,130000,5,7,8,15,56
100830,130000,7,7,7,5,68
100830,170000,5,7,1,2,4
100830,180000,5,7,1,4,46
100830,230000,5,7,2,2,7
100830,240000,5,7,1,8,18
100830,260000,5,7,2,9,9
100830,270000,5,7,1,5,3
