unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace13,crace14,crace15,crace16,bal_m,bal_w
100663,"43.0000",7,1,,0,0,0,0,,1,0,0,1,3,0,0,2,4,0,0
100663,"44.0000",7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0
100663,"45.0000",7,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,5,0,0
100663,"99.0000",7,49,18,7,50,,1,4,7,1,3,191,473,0,0,252,552,0,0
100663,"13.0000",8,0,0,,7,0,0,0,0,0,0,3,18,0,0,3,25,0,0
100663,"99.0000",8,0,0,,7,0,0,0,0,0,0,3,18,0,0,3,25,0,0
100663,"13.0000",9,1,,0,0,0,0,0,0,0,0,1,4,0,0,2,4,0,0
100663,"14.0000",9,2,,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0
100663,"18.0000",9,2,3,1,,0,0,0,0,0,0,2,19,0,0,5,22,0,0
100663,"26.0000",9,1,1,0,0,0,0,0,0,0,0,9,7,0,0,10,8,0,0
100663,"40.0000",9,2,2,0,0,0,0,0,0,0,0,2,,0,0,4,2,0,0
100663,"42.0000",9,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0
100663,"99.0000",9,8,6,1,,0,0,0,0,0,0,16,34,0,0,25,40,0,0
100663,"18.0401",10,0,0,0,0,0,0,,1,0,0,36,11,0,0,36,12,0,0
100663,"18.1001",10,0,0,1,2,1,1,3,3,0,0,105,37,0,0,110,43,0,0
100663,"18.1201",10,0,0,,1,1,,0,0,0,0,16,14,0,0,17,15,0,0
100663,"99.0000",10,0,0,1,3,2,1,3,4,0,0,157,62,0,0,163,70,0,0
100672,"47.0000",1,0,0,0,0,0,0,0,0,0,0,2,,0,0,2,,0,0
100672,"99.0000",1,0,0,0,0,0,0,0,0,0,0,2,,0,0,2,,0,0
100672,"47.0000",2,0,0,9,,0,0,1,,1,,53,1,0,0,64,1,0,0
100672,"99.0000",2,0,0,9,,0,0,1,,1,,53,1,0,0,64,1,0,0
100672,"49.0000",3,2,,4,,0,0,0,0,0,0,29,1,0,0,35,1,0,0
100672,"99.0000",3,2,,4,,0,0,0,0,0,0,29,1,0,0,35,1,0,0
100672,"47.0000",4,0,0,18,3,1,,4,,2,,106,12,0,0,131,15,0,0
100672,"99.0000",4,0,0,18,3,1,,4,,2,,106,12,0,0,131,15,0,0
100681,"95.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
100681,"99.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
100690,"39.0000",5,0,0,1,,0,0,0,0,0,0,19,,0,0,20,,0,0
100690,"99.0000",5,0,0,1,,0,0,0,0,0,0,19,,0,0,20,,0,0
100690,"39.0000",7,0,0,0,0,0,0,0,0,0,0,10,,0,0,10,,0,0
100690,"99.0000",7,0,0,0,0,0,0,0,0,0,0,10,,0,0,10,,0,0
100690,"39.0601",10,0,0,0,0,0,0,0,0,0,0,3,,0,0,3,0,0,0
100690,"99.0000",10,0,0,0,0,0,0,0,0,0,0,3,,0,0,3,0,0,0
100706,"06.0000",1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,4,0,0
100706,"17.0000",1,0,0,5,2,0,0,0,0,0,0,90,42,0,0,95,44,0,0
100706,"30.0000",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
100706,"99.0000",1,0,0,5,2,0,0,0,0,0,0,92,47,0,0,97,49,0,0
100706,"17.0000",2,0,0,0,0,0,0,0,0,0,0,19,9,0,0,19,9,0,0
100706,"99.0000",2,0,0,0,0,0,0,0,0,0,0,19,9,0,0,19,9,0,0
100706,"05.0000",5,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,3,0,0
100706,"06.0000",5,3,0,5,6,0,0,1,1,1,0,71,103,0,0,81,110,0,0
100706,"11.0000",5,0,0,1,1,0,0,0,2,0,0,7,14,0,0,8,17,0,0
100706,"13.0000",5,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,14,0,0
100706,"14.0000",5,16,1,6,3,0,0,10,4,0,0,153,43,0,0,185,51,0,0
100706,"16.0000",5,0,0,0,0,0,0,0,0,0,1,4,3,0,0,4,4,0,0
100706,"18.0000",5,0,0,0,2,0,0,0,1,0,2,7,44,0,0,7,49,0,0
100706,"23.0000",5,0,0,0,1,0,0,0,0,0,0,6,14,0,0,6,15,0,0
100706,"26.0000",5,0,0,0,1,0,0,0,0,0,0,10,8,0,0,10,9,0,0
100706,"27.0000",5,0,0,1,1,0,0,0,0,0,1,11,13,0,0,12,15,0,0
