unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace13,crace14,crace15,crace16,bal_m,bal_w
100663,"18.0401",10,0,0,0,0,0,0,3,1,1,0,35,6,0,0,39,7,0,0
100663,"18.1001",10,2,0,3,1,2,0,2,2,2,0,100,40,0,0,111,43,0,0
100663,"18.1201",10,0,0,1,0,0,0,2,0,0,0,21,20,0,0,24,20,0,0
100663,"99.0000",10,2,,4,1,2,,7,3,3,,156,66,0,0,174,70,0,0
100672,"47.0000",1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
100672,"99.0000",1,0,0,1,,0,0,0,0,0,0,2,,0,0,3,0,0,0
100672,"47.0000",2,2,0,15,1,3,0,1,0,1,0,173,12,0,0,195,13,0,0
100672,"99.0000",2,2,,15,1,3,,1,,1,,173,12,0,0,195,13,0,0
100672,"47.0000",3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0
100672,"49.0000",3,0,1,2,2,0,0,1,0,1,0,18,1,0,0,22,4,0,0
100672,"99.0000",3,,1,4,2,0,0,1,,1,,21,1,0,0,27,4,0,0
100681,"39.0000",5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
100681,"99.0000",5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
100690,"39.0000",5,0,0,2,0,0,0,0,0,0,0,8,1,0,0,10,1,0,0
100690,"99.0000",5,0,0,2,,0,0,0,0,0,0,8,1,0,0,10,1,0,0
100690,"39.0000",7,0,0,2,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0
100690,"99.0000",7,0,0,2,,0,0,0,0,0,0,8,,0,0,10,0,0,0
100690,"39.0601",10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
100690,"99.0000",10,0,0,0,0,0,0,0,0,0,0,5,,0,0,5,0,0,0
100706,"06.0000",1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,6,0,0
100706,"17.0000",1,0,0,6,3,0,0,0,1,0,1,116,45,0,0,122,50,0,0
100706,"99.0000",1,0,0,6,3,0,0,,1,,1,118,51,0,0,124,56,0,0
100706,"17.0000",2,0,0,0,0,0,0,0,0,0,0,27,8,0,0,27,8,0,0
100706,"99.0000",2,0,0,0,0,0,0,0,0,0,0,27,8,0,0,27,8,0,0
100706,"06.0000",5,2,1,3,4,0,1,1,4,1,0,70,105,0,0,77,115,0,0
100706,"11.0000",5,0,0,0,0,0,0,0,0,0,0,14,12,0,0,14,12,0,0
100706,"13.0000",5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0
100706,"14.0000",5,8,0,2,5,0,0,8,1,0,1,158,54,0,0,176,61,0,0
100706,"16.0000",5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1,0,0
100706,"18.0000",5,0,0,1,8,0,0,0,2,0,0,2,58,0,0,3,68,0,0
100706,"23.0000",5,0,0,1,0,0,0,0,0,0,0,5,22,0,0,6,22,0,0
100706,"26.0000",5,1,0,0,1,0,0,1,1,0,0,3,5,0,0,5,7,0,0
100706,"27.0000",5,0,0,0,2,0,0,1,0,0,0,4,8,0,0,5,10,0,0
100706,"40.0000",5,2,0,0,1,0,0,1,0,0,0,16,7,0,0,19,8,0,0
100706,"42.0000",5,0,0,1,1,0,0,0,0,0,0,2,6,0,0,3,7,0,0
100706,"45.0000",5,1,0,0,0,0,0,0,0,0,0,7,6,0,0,8,6,0,0
100706,"50.0000",5,0,0,0,0,0,0,0,0,0,0,4,14,0,0,4,14,0,0
100706,"99.0000",5,14,1,8,22,,1,12,8,1,1,288,318,0,0,323,351,0,0
100706,"06.0000",7,4,2,0,0,0,0,0,0,0,0,19,19,0,0,23,21,0,0
100706,"11.0000",7,7,2,1,0,0,0,1,0,0,0,15,6,0,0,24,8,0,0
