unitid,cipcode,awlevel,crace15,crace16
100858,380101,5,1,1
100858,380201,5,4,1
100858,390501,5,0,1
100858,400501,5,25,7
100858,400501,7,1,1
100858,400501,9,5,0
100858,400502,9,1,0
100858,400599,5,1,2
100858,400601,5,16,0
100858,400601,7,4,0
100858,400703,5,2,0
100858,400801,5,4,2
100858,400801,7,5,1
100858,400801,9,0,1
100858,410101,5,2,13
100858,420101,5,19,36
100858,420101,7,4,3
100858,420101,9,4,0
100858,420201,7,2,1
100858,420201,9,2,0
100858,430102,5,0,1
100858,430107,5,15,3
100858,430199,5,2,5
100858,440401,5,15,11
100858,440701,5,1,5
100858,440799,5,0,10
100858,450101,5,0,1
100858,450401,5,4,7
100858,450601,5,26,4
100858,450601,7,2,0
100858,450701,5,1,0
100858,450801,5,31,7
100858,450801,7,2,1
100858,450801,9,3,1
100858,451001,5,32,19
100858,451001,7,1,0
100858,451101,5,3,1
100858,500402,5,4,16
100858,500403,5,3,1
100858,500404,5,23,4
100858,500405,5,1,1
100858,500501,5,2,3
100858,500708,5,1,0
100858,500799,5,19,27
100858,500903,5,3,4
100858,500903,7,1,1
100858,500904,5,2,0
100858,990000,10,55,39
100858,990000,5,1798,1423
100858,990000,7,201,175
100858,990000,9,70,27
100937,60201,5,15,23
100937,60401,5,41,26
100937,60601,5,1,1
100937,60901,5,0,2
100937,60901,7,2,0
100937,69999,7,3,5
100937,90101,5,0,1
100937,90201,5,1,0
100937,110101,5,3,0
100937,130101,5,1,3
100937,131202,5,0,8
100937,131204,5,0,10
100937,131302,5,0,1
100937,160905,5,1,2
100937,180701,7,0,2
100937,181101,5,2,21
100937,230101,5,3,9
100937,239999,5,1,0
100937,260101,5,10,10
100937,270101,5,10,7
100937,380101,5,2,0
100937,380201,5,2,2
100937,400501,5,12,8
100937,400801,5,2,0
100937,409999,5,0,1
100858,20402,9,4,0
100937,420101,5,6,9
100937,450101,5,1,0
100937,450601,5,3,3
100937,450801,5,5,2
100937,451001,5,5,5
100937,451101,5,3,0
100937,500101,5,2,1
100937,500301,5,1,1
100937,500501,5,0,2
100937,500704,5,1,1
100937,500901,5,3,5
100937,509999,5,1,0
100937,990000,5,138,164
100937,990000,7,5,7
101514,10601,2,1,0
101514,60101,3,5,7
101514,60201,2,1,9
101514,60201,3,5,22
101514,60301,3,0,1
101514,60401,3,18,40
101514,70606,2,0,14
101514,70606,3,1,14
101514,80705,3,1,5
101514,100104,3,2,2
101514,110301,3,21,33
101514,120402,2,3,6
101514,120403,2,1,22
101514,130101,3,27,35
101514,131202,3,1,4
101514,131205,3,1,6
101514,131314,3,0,2
101514,139999,3,2,0
101514,150202,2,13,3
101514,150202,3,2,1
101514,150303,2,13,0
101514,150304,2,10,1
101514,150399,3,10,0
101514,150501,3,2,0
101514,150603,3,2,0
101514,150702,3,1,0
101514,170101,3,0,3
101514,170209,3,0,1
101514,170605,2,2,28
101514,170808,3,0,2
101514,170815,3,0,2
101514,179999,3,0,1
101514,181101,3,5,58
101514,181801,3,1,0
101514,220103,3,1,7
101514,230101,3,0,1
101514,260101,3,1,1
101514,270101,3,16,7
101514,290101,3,27,1
101514,430102,3,4,0
101514,430107,3,3,0
101514,469999,2,9,0
101514,470105,2,10,1
101514,470201,2,7,0
101514,470603,2,5,0
101514,470603,3,1,0
101514,470604,2,9,0
101514,480303,2,4,2
101514,480508,2,7,2
101514,480703,2,8,0
101514,500101,3,1,0
101514,500402,3,4,1
101514,990000,2,103,88
101514,990000,3,165,257
101143,60101,2,1,8
101143,60101,3,0,12
101143,61701,2,0,2
101143,70604,2,0,6
101143,70604,3,0,2
101143,70605,3,0,6
101143,70606,2,0,9
101143,70606,3,0,2
101143,70607,2,0,13
101143,70607,3,0,4
101143,70608,2,0,5
101143,70608,3,0,10
101143,110101,2,4,14
101143,110101,3,13,15
101143,170209,3,0,1
101143,170813,3,0,1
101143,200102,2,0,2
101143,200102,3,0,1
101143,240101,3,73,87
101143,430104,2,6,4
101143,490101,3,8,1
101143,990000,2,11,63
101143,990000,3,94,142
101879,40501,5,0,8
101879,60201,5,32,36
101879,60301,5,15,4
101879,60499,7,15,7
101879,60501,5,5,0
101879,61201,5,23,23
101879,61399,5,43,15
101879,61401,5,40,37
101879,70401,5,0,19
101879,80102,5,1,7
101879,90401,5,1,1
101879,90501,5,1,2
101879,90601,5,11,5
101879,110101,5,9,5
101879,130404,7,0,1
101879,130405,7,5,1
101879,131006,5,0,8
101879,131006,7,0,1
101879,131011,7,1,5
101879,131099,7,1,1
101879,131101,7,6,10
101879,131202,5,3,23
101879,131202,7,2,30
101879,131204,5,0,24
101879,131204,7,0,15
101879,131302,7,0,1
101879,131303,5,0,3
101879,131305,5,0,3
101879,131305,7,0,7
101879,131307,5,5,2
101879,131307,7,2,2
101879,131311,5,2,4
101879,131311,7,2,4
101879,131312,5,6,3
101879,131314,5,6,5
101879,131314,7,7,2
101879,131316,5,1,0
101879,131317,5,1,1
101879,131317,7,1,2
101879,131399,5,1,14
101879,131399,7,0,2
101879,139999,5,13,2
101879,160501,5,1,0
101879,160905,5,1,1
101879,160999,5,1,0
101879,181101,5,2,45
101879,190101,5,0,4
101879,199999,5,0,3
101879,230101,5,2,5
101879,231001,5,3,0
101879,239999,5,0,1
101879,260101,5,4,8
101879,260607,5,2,1
101879,269999,5,4,3
101879,270101,5,2,5
101879,400501,5,2,0
101879,400599,5,2,0
101879,400801,5,5,0
101879,409999,5,2,0
101879,420101,5,2,2
101879,430102,5,1,0
101879,430103,5,0,1
101879,440701,5,2,24
101879,450701,5,4,0
101879,450801,5,9,1
101879,451001,5,9,4
101879,451101,5,3,3
101879,459999,5,1,0
101879,480204,5,3,2
101879,500501,5,0,2
101879,500701,5,2,0
101879,500799,5,3,5
101879,500901,5,0,2
101879,500999,5,12,5
101879,990000,5,303,381
101879,990000,7,42,91
101240,10101,3,2,0
101240,60401,3,29,31
101240,62001,3,5,0
101240,70601,3,0,5
101240,70602,3,0,1
101240,70605,3,0,9
101240,80705,3,4,1
101240,100104,3,3,0
101240,110101,3,17,15
101240,131202,3,1,15
101240,131204,3,0,3
101240,131311,3,1,2
101240,131314,3,1,0
101240,140101,3,8,0
101240,150303,3,11,0
101240,150401,3,1,0
101240,160905,3,0,1
101240,170206,3,1,2
101240,170209,3,1,8
101240,170305,3,4,11
101240,170309,3,0,2
101240,170406,3,9,4
101240,170815,3,0,3
101240,181101,3,2,60
101240,190101,3,0,1
101240,220102,3,0,2
101240,230101,3,1,1
101240,240101,3,20,22
101240,260101,3,0,3
101240,270101,3,1,2
101240,380201,3,1,0
101240,400101,3,1,17
101240,420101,3,0,1
101240,430107,3,12,2
101240,430203,3,1,0
101240,450801,3,1,0
101240,490102,3,1,0
101240,500701,3,0,1
101240,500901,3,0,1
101240,990000,3,139,226
101286,10301,2,1,0
101286,10301,3,2,0
101286,61601,3,2,0
101286,70102,2,3,19
101286,70102,3,0,5
101286,70301,2,6,20
101286,70301,3,0,8
101286,70601,2,0,8
101286,70601,3,0,1
101286,70603,2,0,2
101286,70604,2,0,2
101286,70605,2,0,18
101286,70701,2,1,2
101286,120403,2,5,53
101286,170206,3,0,2
101286,170210,3,5,12
101286,170309,3,0,9
101286,170605,2,2,46
101286,181101,3,8,62
101286,240101,3,41,56
101286,430107,3,4,1
101286,460201,2,5,0
101286,460201,3,2,0
101286,460301,2,13,0
101286,460301,3,1,0
101286,470101,2,2,1
101286,470101,3,21,2
101286,470199,2,2,0
101286,470201,2,8,0
101286,470302,2,5,1
101286,470603,2,2,0
101286,470604,2,5,0
101286,470606,2,11,0
101286,480101,2,3,0
101286,480101,3,2,1
101286,480201,2,1,4
101286,480303,2,2,3
101286,480503,2,5,0
101286,480503,3,3,0
102030,130101,3,3,12
102030,131202,3,0,3
102030,131204,3,1,29
102030,131303,3,0,3
102030,150301,3,3,12
102030,170209,3,0,1
102030,170807,3,0,2
102030,181101,3,0,8
102030,181199,3,1,41
102030,181801,3,0,2
102030,181901,3,0,2
102030,220102,3,2,2
102030,230101,3,0,3
102030,410301,3,1,2
102030,451101,3,0,4
102030,490201,3,0,3
102030,500701,3,0,1
102030,500901,3,0,2
102030,990000,3,22,172
101286,480506,2,1,0
101286,480508,2,2,0
101286,480603,2,4,3
101286,480603,3,0,1
101286,490104,3,1,0
101286,990000,2,89,182
101286,990000,3,92,160
101435,60101,5,0,4
101435,60201,5,3,6
101435,60301,5,1,1
101435,60401,5,5,3
101435,61399,5,0,1
101435,61401,5,3,9
101435,110101,5,6,2
101435,131202,5,0,1
101435,131204,5,0,1
101435,131314,5,3,2
101435,179999,5,2,2
101435,220199,2,0,6
101435,230101,5,0,6
101435,239999,5,0,1
101435,240101,5,0,2
101435,260101,5,2,2
101435,270101,5,2,5
101435,380201,5,1,0
101435,390401,5,2,3
101435,390501,5,1,0
101435,400501,5,3,1
101435,420101,5,5,9
101435,440701,5,0,2
101435,450801,5,3,5
101435,500799,5,1,5
101435,500903,5,1,2
101435,990000,2,0,6
101435,990000,5,44,75
101480,60201,5,20,35
101480,60301,5,18,12
101480,60401,5,63,24
101480,60401,7,21,4
101480,61201,5,35,38
101480,61401,5,44,60
101480,70401,5,0,15
101480,90701,5,3,7
101480,110101,5,18,8
101480,130401,7,12,1
101480,130501,7,0,6
101480,131001,7,1,3
101480,131003,5,0,2
101480,131005,7,0,3
101480,131006,5,2,5
101480,131006,7,1,3
101480,131011,7,1,7
101480,131101,7,3,7
101480,131202,5,5,61
101480,131202,7,3,26
101480,131204,5,0,26
101480,131204,7,0,19
101480,131302,5,1,0
101480,131303,5,0,9
101480,131303,7,0,3
101480,131307,5,1,0
101480,131312,5,10,4
101480,131312,7,5,1
101480,131314,5,19,6
101480,131314,7,13,7
101480,131316,5,1,1
101480,131316,7,1,1
101480,131317,5,3,2
101480,131317,7,1,2
101480,181101,5,6,58
101480,190101,5,1,8
101480,190503,5,1,9
101480,190901,5,0,23
101480,200401,5,0,1
101480,230101,5,3,8
101480,230101,7,0,7
101480,240101,5,3,2
101480,240101,7,1,1
101480,260101,5,12,18
101480,260101,7,0,5
101480,270101,5,7,7
101480,270101,7,3,0
101480,309999,5,4,4
101480,310101,5,7,4
101480,400501,5,6,1
101480,420101,5,12,21
101480,420101,7,1,5
101480,420601,7,0,1
101480,430102,5,5,11
101480,430104,7,4,1
101480,430106,5,5,7
101480,430107,5,19,2
101480,440401,7,18,3
101480,450601,5,3,1
101480,450701,5,7,2
101480,450801,5,6,2
101480,450801,7,1,7
101480,451001,5,26,4
101480,451001,7,2,2
101480,451101,5,8,24
101480,500501,5,3,3
101480,500701,5,6,5
101480,500901,5,4,2
101480,990000,5,397,542
101480,990000,7,92,125
101499,70604,3,0,1
101499,70606,3,1,3
101499,179999,3,1,4
101499,181101,3,0,30
101499,240101,3,50,43
101499,430107,3,13,3
101499,990000,3,65,84
101505,10199,3,2,1
101505,60401,3,8,2
101505,60499,3,18,19
101505,61701,2,1,1
101505,69999,3,6,7
101505,70102,3,2,7
101505,70201,3,3,9
101505,70301,3,2,7
101505,70601,3,2,13
101505,70606,3,0,8
101505,70607,2,0,3
101505,70608,2,0,3
101505,70701,3,2,1
101505,80705,3,3,1
101505,80799,3,1,2
101505,81001,3,0,2
101505,81101,3,3,0
101505,90601,3,1,1
101505,100104,3,1,0
101505,110201,3,4,4
101505,120301,3,19,1
101505,140101,3,1,1
101505,150101,3,4,0
101505,150201,3,0,1
101505,150202,3,2,0
101505,150303,3,9,0
101505,150401,3,4,1
101505,150805,3,1,1
101505,170205,3,2,0
101505,170209,3,5,17
101505,170210,3,0,3
101505,170305,3,0,5
101505,170309,3,2,17
101505,170406,3,0,1
101505,170506,3,0,3
101505,170808,3,1,4
101505,170815,3,1,6
101505,181101,3,15,65
101505,200201,3,0,8
101505,200401,3,0,7
101505,200404,3,0,3
101505,200501,3,2,3
101505,240101,3,25,52
101505,310301,3,2,2
101505,430107,3,13,5
101505,430201,3,8,0
101505,990000,2,1,7
101505,990000,3,174,290
101541,40501,5,0,2
101541,69999,5,0,10
101541,80102,5,0,4
101541,110101,5,0,5
101541,131202,5,0,2
101541,131205,5,0,1
101541,131312,5,0,1
101541,131314,5,0,3
101541,181101,5,0,1
101541,181801,5,0,1
101541,230101,5,0,3
101541,260101,5,0,4
101541,270101,5,0,2
101541,380201,5,0,1
101541,400501,5,0,1
101541,420101,5,0,7
101541,440701,5,0,1
101541,451101,5,0,3
101541,500701,5,0,2
101541,500903,5,0,2
101541,990000,5,0,56
101587,60101,5,12,12
101587,60201,5,4,5
101587,60401,5,6,6
101587,70606,3,0,3
101587,110101,5,18,8
101587,130405,7,6,0
101587,130501,7,0,3
101587,131006,5,0,1
101587,131006,7,1,3
101587,131202,5,0,13
101587,131202,7,0,25
101587,131204,5,0,2
101587,131204,7,0,9
101587,131303,5,0,2
101587,131303,7,0,1
101587,131305,5,0,3
101587,131305,7,0,3
101587,131311,5,0,3
101587,131311,7,1,4
101587,131312,5,0,1
101587,131312,7,2,0
101587,131314,5,9,3
101587,131314,7,4,1
101587,131315,7,0,3
101587,131316,5,1,1
101587,131317,5,0,1
101587,131317,7,1,0
101587,150699,5,2,1
101587,170310,5,1,0
101587,170506,3,0,2
101587,170599,3,1,2
101587,181101,3,1,25
101587,230101,5,0,3
101587,260101,5,4,5
101587,270101,5,1,2
101587,300101,5,1,0
101587,309999,5,2,2
101587,400501,5,0,1
101587,450801,5,1,1
101587,451101,5,1,2
101587,500901,5,1,0
101587,990000,3,2,32
101587,990000,5,64,78
101587,990000,7,15,52
101648,240101,3,98,4
101648,990000,3,98,4
101675,60499,5,13,12
101675,90101,5,2,2
101675,131202,5,0,2
101675,131317,5,1,0
101675,230101,5,0,3
101675,260101,5,2,0
101675,270101,5,2,1
101675,450101,5,3,4
101675,451001,5,5,2
101675,990000,5,28,26
101693,60401,5,7,16
101693,110101,5,1,2
101693,131202,5,0,6
101693,131202,7,1,4
101693,131204,5,0,6
101693,131305,5,0,1
101693,131307,5,3,3
101693,131311,5,3,1
101693,181101,3,7,52
101693,181101,5,2,25
101693,230101,5,3,2
101693,260101,5,1,3
101693,270101,5,4,2
101693,380201,5,12,3
101693,390401,5,1,0
101693,390501,5,5,0
101693,420101,5,4,8
101693,450801,5,1,2
101693,451101,5,1,6
101693,500901,5,0,1
101693,990000,3,7,52
101693,990000,5,48,87
101693,990000,7,1,4
102030,20301,3,0,1
102030,60201,3,1,2
102030,60499,3,8,24
102030,70606,3,0,4
102030,110101,3,0,7
102030,120301,3,2,2
101897,60301,3,0,4
101897,62001,3,4,1
101897,70606,3,0,9
101897,110101,3,10,21
101897,150303,3,0,1
101897,150899,3,2,0
101897,170204,3,0,1
101897,170209,3,1,0
101897,181101,3,3,42
101897,240101,3,36,75
101897,430105,3,0,1
101897,990000,3,56,155
101903,60101,3,12,14
101903,70606,2,0,10
101903,70606,3,0,10
101903,110101,3,2,4
101903,110301,3,2,2
101903,120402,3,1,0
101903,131202,3,1,10
101903,131205,3,4,9
101903,140101,3,3,0
101903,150202,3,1,2
101903,150303,3,2,2
101903,150401,3,2,0
101903,181101,3,2,50
101903,181801,3,1,1
101903,240101,3,5,14
101903,270101,3,1,0
101903,460302,3,2,0
101903,500901,3,1,2
101903,990000,2,0,10
101903,990000,3,42,120
101912,60101,5,1,1
101912,60201,5,6,7
101912,60401,5,7,8
101912,70401,3,0,2
101912,70401,5,0,5
101912,70701,3,1,1
101912,90101,3,3,2
101912,90101,5,2,2
101912,119999,3,0,7
101912,131202,5,3,9
101912,131204,5,0,2
101912,131303,5,1,0
101912,131305,5,1,0
101912,131308,5,0,1
101912,131312,5,1,1
101912,170310,5,0,1
101912,180102,5,0,1
101912,181101,3,0,19
101912,190101,5,0,5
101912,190503,3,1,0
101912,200102,3,0,4
101912,200108,5,1,1
101912,230101,5,0,1
101912,240101,5,2,1
101912,260101,5,12,7
101912,269999,5,2,2
101912,270101,5,1,0
101912,279999,5,1,3
101912,380201,5,8,1
101912,399999,2,2,0
101912,399999,5,16,2
101912,400501,5,7,3
101912,420101,5,5,2
101912,440701,5,0,7
101912,450801,5,1,0
101912,480203,3,1,0
101912,990000,2,2,0
101912,990000,3,6,35
101912,990000,5,78,73
101949,30404,3,6,0
101949,69999,3,4,5
101949,70606,3,0,3
101949,110101,3,2,5
101949,131204,3,0,3
101949,131205,3,0,4
101949,131302,3,0,1
101949,131312,3,0,2
101949,140101,3,3,2
101949,179999,3,2,1
101949,240101,3,12,19
101949,459999,3,1,0
101949,990000,3,30,45
102049,40501,5,1,12
102049,60101,5,5,7
102049,60201,5,12,14
102049,60301,5,6,2
102049,60401,5,9,5
102049,60401,7,39,20
102049,60501,5,1,1
102049,60901,5,1,1
102049,61401,5,9,7
102049,70401,5,0,4
102049,80102,5,0,2
102049,90101,5,3,3
