unitid,"cipcode",awlevel,"xcrace01",crace01,"xcrace02",crace02,"xcrace03",crace03,"xcrace04",crace04,"xcrace05",crace05,"xcrace06",crace06,"xcrace07",crace07,"xcrace08",crace08,"xcrace09",crace09,"xcrace10",crace10,"xcrace11",crace11,"xcrace12",crace12,"xcrace13",crace13,"xcrace14",crace14,"xcrace15",crace15,"xcrace16",crace16
c2000_a.csv:130794,"45.1001",5,"R",8,"R",4,"R",6,"R",7,"R",1,"R",1,"R",3,"R",8,"R",3,"R",1,"R",26,"R",32,"R",4,"R",5,"R",51,"R",58
c2000_a.csv:130794,"45.1101",5,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"R",2,"R",7,"R",5,"R",1,"R",3,"R",12,"R",15
c2000_a.csv:130794,"50.0501",5,"R",1,"R",2,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",11,"R",1,"R",2,"R",13,"R",15
c2000_a.csv:130794,"50.0602",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",7,"R",4,"R",2,"Z",0,"R",10,"R",4
c2000_a.csv:130794,"50.0701",5,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"R",1,"R",2,"R",4,"R",4,"R",1,"R",1,"R",9,"R",10
c2000_a.csv:130794,"50.0703",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",1,"R",7,"R",1,"R",1,"R",2,"R",12
c2000_a.csv:130794,"50.0901",5,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",5,"R",4,"R",1,"R",1,"R",8,"R",8
c2000_a.csv:130794,"99.0000",5,"R",55,"R",34,"R",29,"R",51,"R",7,"R",4,"R",111,"R",130,"R",38,"R",35,"R",383,"R",352,"R",62,"R",65,"R",685,"R",671
c2000_a.csv:130794,"03.0501",7,"R",5,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",5,"R",3,"R",2,"R",24,"R",33,"R",2,"R",5,"R",36,"R",55
c2000_a.csv:130794,"04.0201",7,"R",12,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"R",1,"Z",0,"R",22,"R",10,"R",1,"Z",0,"R",39,"R",13
c2000_a.csv:130794,"04.0401",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1
c2000_a.csv:130794,"05.0102",7,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",4,"R",2,"Z",0,"Z",0,"R",4,"R",4
c2000_a.csv:130794,"05.0104",7,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",2,"R",2
c2000_a.csv:130794,"05.0110",7,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"R",1
c2000_a.csv:130794,"05.0201",7,"R",1,"R",1,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",4,"R",4
