unitid,cipcode,awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace15,crace16,bal_m,bal_w
2610,450000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2610,990000,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
2610,990000,2,0,0,0,0,0,0,0,2,0,0,2,4,2,6,0,0
2610,990000,3,0,0,0,0,0,0,0,1,0,0,2,41,2,42,0,0
2610,990000,5,0,0,0,3,0,0,0,1,0,1,0,64,0,69,0,0
2662,60000,3,0,1,3,0,0,0,0,0,3,1,0,2,6,4,0,0
2662,60000,5,15,2,7,6,3,0,1,0,25,16,23,33,74,57,0,0
2662,130000,5,0,0,0,0,0,0,0,0,1,11,0,3,1,14,0,0
2662,150000,3,0,0,0,0,0,1,0,0,4,1,7,0,11,2,0,0
2662,160000,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2662,170000,3,0,0,1,0,0,0,0,0,3,3,9,11,13,14,0,0
2662,180000,3,0,0,0,3,0,1,0,0,1,14,6,54,7,72,0,0
2662,220000,3,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0
2662,240000,5,0,0,1,3,0,0,0,0,1,0,10,3,12,6,0,0
2662,260000,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2662,270000,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2662,270000,5,2,0,0,0,0,0,0,0,5,0,6,0,13,0,0,0
2662,300000,5,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0
2662,420000,5,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
2662,430000,3,0,0,0,0,0,0,0,0,2,2,5,1,7,3,0,0
2662,430000,5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
2662,450000,5,1,1,3,5,1,1,2,1,4,1,12,8,17,11,-6,-6
2662,480000,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2662,490000,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
2662,490000,5,0,0,0,0,1,0,0,0,1,0,4,1,5,2,-1,1
2662,500000,5,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0
2662,990000,3,0,1,4,3,1,2,0,0,14,23,32,68,51,97,0,0
2662,990000,5,18,3,11,14,6,1,3,1,39,31,59,49,129,94,-7,-5
2776,390000,7,0,0,0,0,0,0,0,0,2,0,3,0,5,0,0,0
2776,390601,10,0,0,1,0,0,0,0,0,2,0,7,0,10,0,0,0
2776,990000,7,0,0,0,0,0,0,0,0,2,0,3,0,5,0,0,0
2776,990000,10,0,0,1,0,0,0,0,0,2,0,7,0,10,0,0,0
3195,90000,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
3195,130000,5,0,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0
3195,240000,3,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0
3195,240000,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
3195,390000,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
3195,390000,5,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0
3195,450000,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3195,990000,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
3195,990000,3,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0
3195,990000,5,0,0,0,0,0,0,0,0,0,0,5,9,5,9,0,0
3462,10000,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3462,60000,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
