unitid,cipcode,awlevel,crace15,crace16
100858,180101,7,2,8
100858,180102,5,0,1
100858,180102,7,0,18
100858,180701,5,12,17
100858,181101,5,3,50
100858,181401,5,30,36
100858,181401,7,2,0
100858,181401,10,3,4
100858,182401,10,83,29
100858,189999,5,0,2
100858,189999,7,3,3
100858,190301,5,0,5
100858,190401,5,0,1
100858,190403,5,0,7
100858,190501,5,0,7
100858,190501,7,0,3
100858,190503,5,0,13
100858,190599,5,0,2
100858,190602,5,0,8
100858,190603,5,0,1
100858,190603,7,1,0
100858,190701,5,0,49
100858,190701,7,1,1
100858,190703,7,1,3
100858,190901,7,0,1
100858,190904,7,0,1
100858,190999,5,0,6
100858,199999,7,0,2
100858,230101,5,15,25
100858,230101,7,2,7
100858,230101,9,1,0
100858,231001,5,11,9
100858,231001,7,2,8
100858,260101,5,16,9
100858,260201,5,4,0
100858,260201,7,4,0
100858,260201,9,0,2
100858,260301,7,0,1
100858,260305,7,1,0
100858,260501,5,9,9
100858,260501,7,1,2
100858,260501,9,1,0
100858,260607,5,4,0
100858,260609,9,2,0
100858,260701,5,0,3
100858,260701,7,3,2
100858,260701,9,2,1
100858,260702,7,2,1
100858,260702,9,1,0
100858,260703,7,0,1
100858,260706,7,3,1
100858,260706,9,0,1
100858,270101,5,8,2
100858,270101,7,1,1
100858,270101,9,1,1
100858,270301,5,4,1
100858,270501,7,1,0
100858,300401,5,0,15
100858,310301,5,8,15
100858,380101,5,0,2
100858,380201,5,1,1
100858,390501,5,1,0
100858,400501,5,34,9
100858,400501,7,3,0
100858,400501,9,1,0
100858,400504,7,1,0
100858,400504,9,1,1
100858,400506,9,1,0
100858,400599,5,2,2
100858,400601,5,18,3
100858,400601,7,3,0
100858,400703,5,1,0
100858,400801,5,8,1
100858,400801,7,1,0
100858,400801,9,1,0
100858,400899,5,1,0
100858,420101,5,7,32
100858,420101,7,0,3
100858,420101,9,1,4
100858,420201,7,1,0
100858,420201,9,0,4
100858,420901,7,0,1
100858,430102,5,0,2
100858,430107,5,24,3
100858,430199,5,3,9
100858,439999,5,0,1
100858,440401,5,11,8
100858,440701,5,2,12
100858,440799,5,0,2
100858,450201,5,1,2
100858,450401,5,4,7
100858,450601,5,10,4
100858,450701,5,3,0
100858,450801,5,33,4
100858,450801,7,3,2
100858,450801,9,2,3
100858,451001,5,29,9
100858,451001,7,0,1
100858,451101,5,2,2
100858,451101,7,1,0
100858,500402,5,3,6
100858,500403,5,3,2
100858,500404,5,16,0
100858,500404,7,1,0
100858,500405,5,1,1
100858,500501,5,4,4
100858,500708,5,2,1
100858,500709,5,1,0
100858,500799,5,15,23
100858,500901,7,1,0
100858,500903,5,0,2
100858,500904,5,1,3
100858,500999,5,0,1
100858,990000,10,86,33
100858,990000,5,1806,1330
100858,990000,7,194,197
100858,990000,9,45,45
100937,60201,5,13,14
100937,60401,5,38,48
100937,69999,5,1,5
100937,69999,7,3,5
100937,90501,5,0,1
100937,99999,5,1,0
100937,110101,5,4,2
100937,130101,5,0,5
100937,131202,5,0,5
100937,131204,5,1,5
100937,131314,5,2,0
100937,139999,5,1,1
100937,160901,5,0,2
100937,160905,5,1,0
100937,169999,5,0,1
100937,230101,5,4,6
100937,239999,5,0,1
100937,260101,5,13,13
100937,269999,5,1,2
100937,270101,5,4,3
100937,279999,5,0,1
100937,380101,5,1,0
100937,380201,5,9,2
100937,400501,5,11,5
100937,400801,5,1,0
100937,420101,5,3,6
100937,429999,5,0,3
100937,450601,5,6,4
100937,450801,5,12,5
100937,451001,5,3,6
100937,451101,5,2,5
100937,459999,5,3,1
100937,500101,5,1,5
100937,500301,5,2,2
100937,500501,5,1,2
100937,500703,5,0,1
100937,500901,5,1,6
100937,509999,5,2,2
100937,990000,5,142,170
100937,990000,7,3,5
101514,20101,3,1,0
101514,60101,3,6,6
101514,60201,3,3,12
101514,60401,3,20,41
101514,70606,3,0,18
101514,80705,3,1,1
101514,90601,3,0,2
101514,110301,3,21,45
101514,130101,3,31,31
101514,130405,3,1,6
101514,131314,3,0,1
101514,140101,3,4,0
101514,150202,3,1,1
101514,150399,3,32,1
101514,150501,3,2,0
101514,150899,3,2,0
101514,170101,1,0,20
101514,170101,3,0,8
101514,170205,1,61,32
101514,170209,3,0,3
101514,170506,3,0,1
101514,179999,3,0,1
101514,181101,3,7,55
101514,181801,3,1,0
101514,182001,3,1,0
101514,220103,3,0,2
101514,270101,3,9,3
101514,290101,3,17,2
101514,400501,3,1,0
101514,430107,3,9,1
101514,469999,3,2,0
101514,500101,3,5,4
101514,500701,3,1,0
101514,500901,3,0,3
101514,990000,1,61,52
101514,990000,3,178,248
101143,60101,1,3,6
101143,60101,3,4,10
101143,60301,1,0,1
101143,70601,1,0,8
101143,70601,3,0,6
101143,70605,1,0,3
101143,70605,3,0,5
101143,110101,3,21,24
101143,110201,1,18,22
101143,119999,1,4,0
101143,149999,1,1,0
101143,170506,3,0,1
101143,170815,3,0,1
101143,179999,3,0,1
101143,200202,1,0,1
101143,200202,3,0,1
101143,240101,3,68,99
101143,430104,1,11,5
101143,430104,3,1,0
101143,470604,3,1,0
101143,490101,3,9,0
101143,990000,1,37,46
101143,990000,3,104,148
101879,40501,5,1,9
101879,60201,5,24,52
101879,60301,5,12,6
101879,60499,7,12,20
101879,61201,5,34,40
101879,61399,5,32,16
101879,61401,5,39,37
101879,70401,5,0,14
101879,80102,5,0,6
101879,90401,5,3,3
101879,90701,5,7,8
101879,110101,5,2,1
101879,130405,7,4,2
101879,131006,5,2,7
101879,131006,7,2,5
101879,131011,7,1,7
101879,131101,7,5,6
101879,131202,5,0,36
101879,131202,7,3,32
101879,131204,5,0,25
101879,131204,7,1,8
101879,131205,7,19,16
101879,131302,5,0,1
101879,131305,5,1,4
101879,131307,5,5,6
101879,131311,5,0,1
101879,131312,5,1,8
101879,131314,5,9,7
101879,131316,5,0,1
101879,131317,5,1,1
101879,139999,5,9,3
101879,139999,7,0,5
101879,160905,5,0,1
101879,181101,5,1,36
101879,190101,5,0,2
101879,199999,5,0,3
101879,230101,5,2,8
101879,231001,5,0,1
101879,260101,5,6,12
101879,260101,7,1,0
101879,260607,5,0,1
101879,269999,5,3,3
101879,270101,5,5,5
101879,400501,5,3,0
101879,400599,5,1,1
101879,400801,5,1,0
101879,409999,5,3,0
101879,420101,5,2,4
101879,430103,5,8,2
101879,440701,5,7,25
101879,450701,5,1,1
101879,450801,5,13,6
101879,451001,5,11,8
101879,451101,5,2,6
101879,480204,5,2,6
101879,500501,5,2,0
101879,500701,5,1,1
101879,500799,5,3,8
101879,500901,5,0,3
101879,500999,5,11,5
101879,990000,5,270,440
101879,990000,7,48,101
101240,10102,3,0,2
101240,10301,3,1,0
101240,60301,3,0,4
101240,60401,3,37,31
101240,61601,3,2,0
101240,70301,3,9,14
101240,70602,3,1,3
101240,70605,3,0,4
101240,70606,3,0,3
101240,70699,3,0,4
101240,70705,3,0,3
101240,80601,3,1,2
101240,80705,3,4,5
101240,90601,3,8,2
101240,110101,3,8,14
101240,131201,3,1,6
101240,131204,3,0,2
101240,131314,3,0,3
101240,140101,3,6,0
101240,150303,3,7,0
101240,150401,3,1,0
101240,170206,3,3,0
101240,170209,3,1,5
101240,170309,3,3,11
101240,170310,3,0,2
101240,170401,3,2,2
101240,170406,3,5,2
101240,170599,3,0,2
101240,181101,3,5,70
101240,181801,3,1,0
101240,190101,3,0,3
101240,230101,3,0,2
101240,240101,3,14,19
101240,260101,3,0,2
101240,270101,3,2,2
101240,380201,3,1,0
101240,420101,3,1,2
101240,430106,3,7,2
101240,430199,3,1,0
101240,450801,3,1,1
101240,490102,3,2,0
101240,500501,3,0,1
101240,500701,3,2,0
101240,990000,3,137,230
101286,10301,2,7,0
101286,70102,2,0,5
101286,70102,3,0,3
101286,70301,2,7,11
101286,70301,3,0,7
101286,70601,2,0,1
101286,70701,2,0,1
101286,120403,2,3,48
101286,170206,3,2,1
101286,170309,3,2,7
101286,170605,2,0,56
101286,170818,3,3,7
101286,181101,3,4,101
101286,240101,3,29,46
101286,430107,3,2,2
101286,460201,2,6,1
101286,460301,2,9,0
101286,470101,2,2,1
101286,470101,3,14,1
101286,470199,2,3,0
101286,470201,2,13,0
101286,470203,2,19,0
101286,470603,2,3,0
101286,470604,2,11,0
101286,470604,3,1,0
101286,470605,2,3,0
101286,470606,2,15,0
101286,480101,2,3,0
101286,480101,3,2,1
101286,480303,2,3,0
101286,480503,2,7,0
101286,480506,2,3,0
101286,480508,2,8,0
101286,480603,2,3,0
101286,490104,3,2,0
101286,990000,2,128,124
101286,990000,3,61,176
101435,60101,5,2,0
101435,60201,5,3,7
101435,60301,5,3,1
101435,60401,5,6,3
101435,60501,5,1,0
101435,61401,5,2,0
101435,61601,5,0,1
101435,90501,5,0,1
101435,110101,5,4,0
101435,131006,5,0,1
101435,131202,5,0,2
101435,131204,5,0,2
101435,131312,5,0,1
101435,131314,5,5,3
101435,179999,5,0,1
101435,180701,5,0,2
101435,230101,5,4,2
101435,231001,5,1,1
101435,240101,3,0,2
101435,240101,5,0,2
101435,260101,5,2,0
101435,270101,5,2,0
101435,380201,5,1,0
101435,389999,5,5,2
101435,390401,5,1,3
101435,400501,5,2,3
101435,420101,5,3,10
101435,440701,5,1,4
101435,450801,5,2,3
101435,500708,5,1,2
101435,500903,5,2,0
101435,990000,3,0,2
101435,990000,5,53,57
101480,60101,5,63,24
101480,60101,7,6,0
101480,60201,5,19,28
101480,60301,5,2,0
101480,60401,7,21,2
101480,60499,5,11,10
101480,69999,5,1,0
101480,70401,5,0,15
101480,80799,5,35,26
101480,110101,5,42,47
101480,119999,5,10,4
101480,130401,7,16,3
101480,131001,7,0,12
101480,131005,5,0,1
101480,131006,5,1,4
101480,131006,7,2,6
101480,131011,7,1,5
101480,131101,7,8,12
101480,131202,5,4,34
101480,131202,7,2,21
101480,131204,5,1,28
101480,131204,7,1,15
101480,131303,5,0,1
101480,131303,7,0,6
101480,131308,5,0,3
101480,131311,5,11,10
101480,131314,5,27,9
101480,131314,7,13,5
101480,170310,5,0,1
101480,181101,5,7,49
101480,190101,5,0,4
101480,190503,5,0,4
101480,190599,5,1,1
101480,190903,5,0,6
101480,230101,5,3,9
101480,230101,7,0,6
101480,239999,5,0,2
101480,240101,5,6,6
101480,240101,7,1,0
101480,259999,7,1,7
101480,260101,5,16,15
101480,260101,7,1,1
101480,270101,5,5,5
101480,270101,7,3,2
101480,280301,5,1,1
101480,309999,7,1,1
101480,310101,5,2,1
101480,319999,5,16,2
101480,400501,5,0,2
101480,400801,5,2,0
101480,420101,5,8,13
101480,420101,7,2,3
101480,430102,5,4,15
101480,430103,7,11,3
101480,430104,7,2,2
101480,430106,5,1,0
101480,430107,5,22,6
101480,450601,5,8,2
101480,450601,7,0,1
101480,450701,5,4,2
101480,450801,5,6,4
101480,450801,7,2,3
101480,451001,5,17,9
101480,451001,7,5,0
101480,451101,5,12,33
101480,500501,5,3,5
101480,500799,5,6,11
