unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100663,"44.0000",5,,,,4,0,0,0,0,0,0,2,15,0,0,2,19
100663,"44.0000",7,2,1,,1,0,0,0,0,0,0,5,,0,0,7,2
100663,"45.0000",5,,,7,5,0,0,0,0,,1,34,32,0,0,41,38
100663,"45.0000",7,1,,,,0,0,0,0,,,3,4,0,0,4,4
100663,"50.0000",5,0,0,1,1,,1,0,0,0,0,5,12,0,0,6,14
100663,"99.0000",1,0,0,2,8,0,0,1,,0,0,88,21,0,0,91,29
100663,"99.0000",2,0,0,5,42,0,0,,,0,0,78,112,0,0,83,154
100663,"99.0000",5,9,7,54,120,,2,,,3,2,499,651,0,0,565,782
100663,"99.0000",6,,,,,,,,,,,,18,,0,,18
100663,"99.0000",7,24,15,8,40,,,2,1,2,2,158,373,0,0,194,431
100663,"99.0000",8,,,1,5,,,,,,,11,36,0,0,12,41
100663,"99.0000",9,1,2,,,,,1,,1,,19,17,0,0,22,19
100663,"99.0000",10,1,,6,3,1,,5,2,,1,157,61,0,0,170,67
100672,"47.0000",1,,,7,,0,0,0,0,2,,54,1,0,0,63,1
100672,"47.0000",2,2,,14,,0,0,0,0,1,1,108,9,0,0,125,10
100672,"48.0000",2,0,0,0,0,0,0,0,0,0,0,5,,0,,5,
100672,"49.0000",3,1,,2,,0,0,0,0,0,0,15,,0,,18,
100672,"99.0000",1,,,7,,0,0,0,0,2,,54,1,0,0,63,1
100672,"99.0000",2,2,,14,,0,0,0,0,1,1,113,9,0,0,130,10
100672,"99.0000",3,1,,2,,0,0,0,0,,,15,,0,,18,
100690,"39.0000",2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1
100690,"39.0000",5,0,0,0,0,0,0,0,0,0,0,9,,0,,9,
100690,"39.0000",7,0,0,0,0,0,0,0,0,0,0,14,,0,,14,
100690,"39.0601",10,0,0,1,,0,0,0,0,0,0,2,,0,,3,
100690,"99.0000",2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1
100690,"99.0000",5,0,0,0,0,0,0,0,0,0,0,9,,0,,9,
